City_ID,City,Country,Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Serebryansk,KZ,overcast clouds,49.6925,83.2892,74.86,53,99,11.81
190,Salalah,OM,scattered clouds,17.0151,54.0924,89.69,66,40,18.41
191,Inhambane,MZ,moderate rain,-23.865,35.3833,67.24,86,100,13.11
192,Porto Torres,IT,clear sky,40.835,8.3972,78.98,41,3,7.34
193,Tazovskiy,RU,overcast clouds,67.4667,78.7,36.34,92,100,8.32
194,Luderitz,NA,clear sky,-26.6481,15.1594,68.9,43,5,3.04
195,Gamba,GA,overcast clouds,-2.65,10.0,80.22,70,97,8.84
196,Santa Fe,AR,light rain,-31.6333,-60.7,53.02,97,0,1.99
197,Klaksvik,FO,overcast clouds,62.2266,-6.589,49.12,90,93,13.04
198,Nanortalik,GL,moderate rain,60.1432,-45.2371,38.37,96,100,18.28
199,Antofagasta,CL,few clouds,-23.65,-70.4,56.48,72,15,1.77
200,Georgetown,MY,few clouds,5.4112,100.3354,87.73,82,20,8.05
201,Bridlington,GB,overcast clouds,54.0831,-0.1919,63.9,78,100,11.45
202,Torbay,CA,broken clouds,47.6666,-52.7314,54.88,53,75,10.36
203,Leh,IN,broken clouds,34.1667,77.5833,55.33,25,76,2.3
204,Arroyo,ES,few clouds,41.6096,-4.7969,76.19,59,20,14.97
205,Dwarka,IN,broken clouds,22.2394,68.9678,86.0,75,55,23.58
206,La Macarena,CO,overcast clouds,2.1837,-73.7849,68.23,99,99,1.54
207,Maragogi,BR,broken clouds,-9.0122,-35.2225,79.16,75,60,11.95
208,Kuytun,RU,broken clouds,54.3419,101.5036,66.49,42,73,10.33
209,Komsomolets,KZ,light rain,53.7453,62.0708,51.39,54,98,17.92
210,Riyadh,SA,clear sky,24.6877,46.7219,105.94,7,0,1.45
211,Concepcion,CL,overcast clouds,-36.827,-73.0498,55.2,94,100,11.5
212,Gat,IL,clear sky,31.61,34.7642,79.79,36,8,16.75
213,Mercedes,AR,clear sky,-34.6515,-59.4307,46.6,63,0,4.81
214,Rocha,UY,few clouds,-34.4833,-54.3333,46.92,85,19,3.74
215,Keskin,TR,clear sky,39.6731,33.6136,71.58,23,0,3.78
216,Papayal,PE,clear sky,-4.0761,-80.7361,67.86,82,2,3.06
217,Natal,BR,broken clouds,-5.795,-35.2094,79.02,89,75,9.22
218,Mvangue,CM,overcast clouds,2.9667,11.5167,82.36,57,99,3.0
219,Meulaboh,ID,overcast clouds,4.1363,96.1285,83.88,69,94,3.29
220,Kajaani,FI,clear sky,64.2273,27.7285,59.05,31,0,8.05
221,Brigantine,US,clear sky,39.4101,-74.3646,73.04,84,0,5.75
222,Vangaindrano,MG,clear sky,-23.35,47.6,76.24,60,2,5.39
223,Marsh Harbour,BS,broken clouds,26.5412,-77.0636,77.63,83,76,11.48
224,Saint-Pierre,RE,clear sky,-21.3393,55.4781,82.08,57,0,10.36
225,Gourdon,FR,overcast clouds,44.75,1.5,81.81,50,100,5.93
226,Agua Buena,PA,overcast clouds,7.8167,-80.4,76.77,99,100,1.21
227,Karpathos,GR,broken clouds,35.507,27.2132,76.96,47,75,24.16
228,Malanje,AO,broken clouds,-9.5402,16.341,81.54,42,80,2.89
229,Maceio,BR,broken clouds,-9.6658,-35.7353,76.44,88,75,2.3
230,Ilo,PE,overcast clouds,-17.6394,-71.3375,63.43,81,93,4.21
231,Coremas,BR,scattered clouds,-7.0144,-37.9458,76.6,69,31,9.53
232,Itarema,BR,broken clouds,-2.9248,-39.9167,75.74,88,66,7.02
233,Rawson,AR,scattered clouds,-43.3002,-65.1023,56.23,46,47,20.27
234,Quatre Cocos,MU,few clouds,-20.2078,57.7625,80.1,61,14,14.56
235,Iisalmi,FI,scattered clouds,63.5592,27.1907,60.28,35,45,3.49
236,Marienburg,PL,broken clouds,54.0359,19.0266,56.84,65,76,16.58
237,Veliko Gradiste,RS,scattered clouds,44.7567,21.5136,77.14,40,48,14.43
238,Walvis Bay,NA,clear sky,-22.9575,14.5053,76.23,25,0,8.3
239,Lesnyye Polyany,RU,clear sky,55.9667,37.8667,52.95,34,6,10.74
240,Tambura,SS,overcast clouds,5.6,27.4667,93.58,39,98,1.95
241,Soyo,AO,overcast clouds,-6.1349,12.3689,78.98,71,94,6.44
242,Peniche,PT,broken clouds,39.3558,-9.3811,66.29,90,52,10.76
243,Kamenka,RU,overcast clouds,51.3223,42.7678,48.24,94,100,12.37
244,Viedma,AR,overcast clouds,-40.8135,-62.9967,53.44,43,99,17.45
245,Candido Mendes,BR,scattered clouds,-1.4467,-45.7167,72.05,97,25,2.19
246,Saint-Joseph,RE,few clouds,-21.3667,55.6167,80.98,73,13,12.15
247,Porto Novo,BJ,overcast clouds,6.4965,2.6036,85.82,69,92,9.01
248,Marawi,PH,overcast clouds,7.9986,124.2928,71.58,93,100,1.88
249,Macusani,PE,broken clouds,-14.0833,-70.4333,33.78,84,51,3.15
250,Leshukonskoye,RU,overcast clouds,64.8989,45.7622,44.31,40,100,12.35
251,Minas,UY,clear sky,-34.3759,-55.2377,45.37,87,0,3.65
252,Vila Do Maio,CV,broken clouds,15.1333,-23.2167,75.99,80,67,16.22
253,Caxito,AO,broken clouds,-8.5785,13.6643,82.87,61,67,2.51
254,Loviisa,FI,overcast clouds,60.4566,26.2251,53.42,35,92,8.41
255,Chapais,CA,overcast clouds,49.7834,-74.8492,37.18,76,99,4.99
256,Boa Vista,BR,overcast clouds,2.8197,-60.6733,75.18,88,100,2.3
257,Guna,IN,few clouds,24.65,77.3167,103.59,14,21,18.19
258,Vardo,NO,overcast clouds,70.3705,31.1107,39.18,87,100,20.71
259,Tocopilla,CL,clear sky,-22.092,-70.1979,62.42,77,8,8.23
260,Cap Malheureux,MU,clear sky,-19.9842,57.6142,80.47,62,3,8.99
261,Strangnas,SE,overcast clouds,59.3774,17.0312,59.29,43,100,1.74
262,San Nicolas,PH,broken clouds,18.1725,120.5953,84.11,84,75,6.91
263,Domat,CH,broken clouds,46.8348,9.4508,80.94,57,57,0.78
264,Kabo,CF,broken clouds,7.6994,18.629,100.51,31,60,0.4
265,Sembe,CG,overcast clouds,1.6481,14.5806,83.93,61,100,2.8
266,Florianopolis,BR,clear sky,-27.6146,-48.5012,52.83,93,0,6.91
267,Ylivieska,FI,broken clouds,64.0833,24.55,62.89,33,75,7.4
268,Barra Do Bugres,BR,few clouds,-15.0725,-57.1811,57.06,63,12,2.55
269,Blagoyevo,RU,overcast clouds,63.3667,47.9167,37.31,73,100,12.15
