City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Sept-Iles,CA,2022-05-19 03:12:02,50.2001,-66.3821,39.06,70,1,4.0
152,Palencia,ES,2022-05-19 03:15:12,42.4167,-4.5,54.79,93,8,7.43
153,Pangody,RU,2022-05-19 03:15:13,65.85,74.4859,42.64,84,100,17.94
154,Teresina,BR,2022-05-19 03:15:13,-5.0892,-42.8019,80.31,89,0,3.44
155,Iskateley,RU,2022-05-19 03:15:13,67.6803,53.1512,31.19,84,84,2.84
156,Praia Da Vitoria,PT,2022-05-19 03:15:13,38.7333,-27.0667,59.76,95,84,31.74
157,Yar-Sale,RU,2022-05-19 03:15:14,66.8333,70.8333,34.86,76,91,17.45
158,Umea,SE,2022-05-19 03:15:14,63.8284,20.2597,40.93,87,100,8.05
159,Puerto Lopez,CO,2022-05-19 03:15:14,4.0845,-72.956,70.47,98,100,5.97
160,Khash,IR,2022-05-19 03:15:15,28.2211,61.2158,79.18,18,0,5.99
161,Vestmannaeyjar,IS,2022-05-19 03:12:58,63.4427,-20.2734,46.9,84,92,15.21
162,Pucallpa,PE,2022-05-19 03:15:15,-8.3791,-74.5539,64.67,81,100,2.91
163,Kulhudhuffushi,MV,2022-05-19 03:15:16,6.6221,73.07,83.86,75,100,18.01
164,Kaniama,CD,2022-05-19 03:15:16,-7.5667,24.1833,66.43,69,44,3.96
165,Tapa,EE,2022-05-19 03:15:16,59.2606,25.9586,43.38,78,100,7.36
166,Omboue,GA,2022-05-19 03:15:17,-1.5746,9.2618,77.72,84,100,7.76
167,Hacari,CO,2022-05-19 03:15:17,8.3233,-73.1489,66.56,96,100,1.66
168,Pontes E Lacerda,BR,2022-05-19 03:15:18,-15.2261,-59.3353,49.19,44,22,3.51
169,Klaksvik,FO,2022-05-19 03:15:18,62.2266,-6.589,50.92,86,96,25.39
170,Ancud,CL,2022-05-19 03:15:19,-41.8697,-73.8203,48.0,90,99,4.72
171,Cidreira,BR,2022-05-19 03:11:17,-30.1811,-50.2056,58.17,79,45,14.92
172,Cap Malheureux,MU,2022-05-19 03:15:19,-19.9842,57.6142,72.46,76,7,1.99
173,Dwarka,IN,2022-05-19 03:15:20,22.2394,68.9678,83.14,72,0,13.47
174,Chingirlau,KZ,2022-05-19 03:15:20,51.095,54.0814,50.45,78,100,7.92
175,Vagur,FO,2022-05-19 03:15:20,61.4732,-6.8119,47.25,90,100,25.57
176,Umarkot,PK,2022-05-19 03:15:21,25.3616,69.7362,88.68,49,0,14.97
177,Ostrovnoy,RU,2022-05-19 03:15:21,68.0531,39.5131,33.98,81,100,11.7
178,Dingle,PH,2022-05-19 03:15:22,10.9995,122.6711,87.57,66,70,10.07
179,Opuwo,NA,2022-05-19 03:15:22,-18.0607,13.84,57.49,51,0,2.93
180,Beloha,MG,2022-05-19 03:15:22,-25.1667,45.05,62.82,80,0,7.36
181,Sao Joao Da Barra,BR,2022-05-19 03:11:24,-21.6403,-41.0511,63.16,45,0,21.88
182,Shahreza,IR,2022-05-19 03:15:23,32.0339,51.8794,68.36,23,0,3.0
183,Saint-Pierre,RE,2022-05-19 03:15:23,-21.3393,55.4781,67.68,68,0,8.05
184,Farah,AF,2022-05-19 03:15:23,32.5,62.5,76.21,23,0,3.78
185,Tirumullaivasal,IN,2022-05-19 03:15:24,11.2333,79.8333,84.85,63,100,14.54
186,Jablah,SY,2022-05-19 03:15:24,35.3614,35.9256,61.09,77,40,2.3
187,Marsaxlokk,MT,2022-05-19 03:15:24,35.8419,14.5431,69.08,82,0,1.14
188,Shurob,TJ,2022-05-19 03:15:25,40.0491,70.5489,65.12,50,9,3.13
189,Changji,CN,2022-05-19 03:15:25,44.0167,87.3167,83.19,18,0,2.24
190,Nohfelden,DE,2022-05-19 03:15:25,49.5869,7.1428,65.64,75,99,3.31
191,Alta Floresta,BR,2022-05-19 03:15:26,-9.8756,-56.0861,60.94,52,96,4.25
192,Rio Gallegos,AR,2022-05-19 03:15:26,-51.6226,-69.2181,44.51,51,70,5.84
193,Yuzhnyy,RU,2022-05-19 03:15:26,53.2542,83.6936,75.58,29,0,11.18
194,San Pedro,PH,2022-05-19 03:15:27,14.35,121.0167,88.83,69,75,6.91
195,Nuuk,GL,2022-05-19 03:15:27,64.1835,-51.7216,30.81,93,100,9.22
196,Meiganga,CM,2022-05-19 03:15:27,6.5167,14.3,65.62,95,100,3.6
197,Bitkine,TD,2022-05-19 03:15:28,11.9801,18.2138,81.23,54,93,5.55
198,Aranos,NA,2022-05-19 03:15:28,-24.1333,19.1167,56.62,41,40,12.41
199,Kidal,ML,2022-05-19 03:15:28,18.4411,1.4078,86.18,10,34,15.68
200,Inirida,CO,2022-05-19 03:15:29,3.8653,-67.9239,72.25,100,100,1.32
201,Perg,AT,2022-05-19 03:15:29,48.25,14.6333,53.44,59,5,5.32
202,Maceio,BR,2022-05-19 03:15:29,-9.6658,-35.7353,76.44,88,0,8.05
203,Lerwick,GB,2022-05-19 03:15:30,60.1545,-1.1494,50.0,83,100,24.52
204,Buchanan,LR,2022-05-19 03:15:30,5.8808,-10.0467,78.04,87,96,5.79
205,Acarau,BR,2022-05-19 03:15:31,-2.8856,-40.12,78.71,89,100,7.78
206,Padang,ID,2022-05-19 03:15:31,-0.9492,100.3543,86.05,56,62,2.06
207,Sidi Ali,DZ,2022-05-19 03:15:31,36.0998,0.4206,73.87,44,16,4.9
208,Khandbari,NP,2022-05-19 03:15:32,27.3747,87.2039,80.44,47,13,0.72
209,Locri,IT,2022-05-19 03:15:32,38.2414,16.2623,66.33,79,11,8.68
210,Pisco,PE,2022-05-19 03:15:33,-13.7,-76.2167,63.01,82,80,2.3
211,Sistranda,NO,2022-05-19 03:15:33,63.7256,8.834,48.16,91,89,7.54
212,Saint George,US,2022-05-19 03:13:32,37.1041,-113.5841,90.19,10,0,9.22
213,Zhezkazgan,KZ,2022-05-19 03:15:34,47.8043,67.7144,62.58,42,0,8.95
214,Inhambane,MZ,2022-05-19 03:15:34,-23.865,35.3833,66.18,94,40,0.0
215,Qaqortoq,GL,2022-05-19 03:15:34,60.7167,-46.0333,34.09,88,9,4.54
216,Gat,IL,2022-05-19 03:15:35,31.61,34.7642,67.41,80,0,2.08
217,Safranbolu,TR,2022-05-19 03:15:35,41.2508,32.6942,43.79,90,100,3.04
218,Grajau,BR,2022-05-19 03:15:36,-5.8194,-46.1386,72.7,96,99,2.62
219,Esenyurt,TR,2022-05-19 03:15:36,41.0333,28.6753,56.75,87,75,3.44
220,Esmeraldas,BR,2022-05-19 03:15:36,-19.7625,-44.3139,50.31,68,0,5.17
221,Minab,IR,2022-05-19 03:15:36,27.1467,57.0801,91.17,27,0,1.77
222,Concarneau,FR,2022-05-19 03:15:37,47.875,-3.9225,57.49,90,94,6.15
223,Tokonou,GN,2022-05-19 03:15:37,9.65,-9.7833,69.98,89,81,4.68
224,Altay,CN,2022-05-19 03:15:37,47.8667,88.1167,73.31,32,0,3.62
225,Talnakh,RU,2022-05-19 03:15:38,69.4865,88.3972,33.21,87,100,7.58
226,Caceres,ES,2022-05-19 03:15:38,39.522,-6.3748,60.73,70,9,1.7
227,Saint-Joseph,RE,2022-05-19 03:15:38,-21.3667,55.6167,66.58,73,16,10.69
228,Samana,DO,2022-05-19 03:15:39,19.2056,-69.3369,77.74,89,99,4.68
229,De Aar,ZA,2022-05-19 03:15:39,-30.6497,24.0123,54.7,56,53,7.14
230,Lagoa,PT,2022-05-19 03:12:51,39.05,-27.9833,57.83,80,94,28.95
231,Tazovskiy,RU,2022-05-19 03:15:39,67.4667,78.7,37.45,67,64,5.88
232,Shetpe,KZ,2022-05-19 03:15:40,44.1667,52.1167,64.51,50,8,6.26
233,Naliya,IN,2022-05-19 03:15:40,23.2667,68.8333,84.65,66,0,13.85
234,Yarim,YE,2022-05-19 03:15:40,14.298,44.3779,55.87,25,49,5.68
235,Aqtobe,KZ,2022-05-19 03:15:41,50.2797,57.2072,51.89,71,0,11.18
236,Kedrovyy,RU,2022-05-19 03:15:41,56.1667,91.8167,70.21,34,81,2.98
237,Nchelenge,ZM,2022-05-19 03:15:41,-9.3451,28.734,62.19,73,61,5.57
238,Kemijarvi,FI,2022-05-19 03:15:42,66.7131,27.4306,33.31,75,10,7.58
239,Ilulissat,GL,2022-05-19 03:15:42,69.2167,-51.1,26.62,93,9,0.0
240,Tshela,CD,2022-05-19 03:15:42,-4.9833,12.9333,71.02,99,97,0.81
241,Umrala,IN,2022-05-19 03:15:43,21.8333,71.8167,87.67,34,2,7.34
242,Trinidad,BO,2022-05-19 03:15:43,-14.8333,-64.9,57.29,54,74,4.0
243,Kondopoga,RU,2022-05-19 03:15:43,62.2057,34.2614,33.48,86,6,5.68
244,Rafaela,AR,2022-05-19 03:15:44,-31.2503,-61.4867,46.98,54,0,2.77
245,Trelew,AR,2022-05-19 03:15:44,-43.249,-65.3051,50.67,26,100,11.03
246,Sao Jose Da Coroa Grande,BR,2022-05-19 03:15:44,-8.8978,-35.1478,76.93,86,100,8.99
247,Ginir,ET,2022-05-19 03:15:45,7.1333,40.7,54.28,88,94,4.85
248,Porto Murtinho,BR,2022-05-19 03:15:45,-21.6989,-57.8825,46.58,69,1,4.05
249,Cockburn Town,TC,2022-05-19 03:15:45,21.4612,-71.1419,80.11,87,90,13.42
250,Comodoro Rivadavia,AR,2022-05-19 03:15:46,-45.8667,-67.5,35.46,69,0,3.44
251,Inverbervie,GB,2022-05-19 03:15:46,56.8446,-2.28,52.23,87,72,16.98
252,Nanortalik,GL,2022-05-19 03:15:47,60.1432,-45.2371,35.56,85,9,3.49
253,Goma,CD,2022-05-19 03:15:47,-1.6792,29.2228,60.96,89,100,2.82
254,Vilanova Del Cami,ES,2022-05-19 03:15:47,41.5717,1.6375,67.3,73,56,1.25
255,Alacranes,CU,2022-05-19 03:15:48,22.7675,-81.5675,73.89,83,73,3.49
256,Castro,BR,2022-05-19 03:15:48,-24.7911,-50.0119,43.38,90,99,10.07
257,Awbari,LY,2022-05-19 03:15:49,26.5921,12.7805,73.76,19,0,7.02
